,Data,Category,State,Year,St_Abbr,Location,Group,Population,Geometry,Total
0,16.0,Binge Drinking,California,2022,CA,Sierra,Health Risk Behaviors,3217,POINT (-120.516466065629 39.5802928882158),514
1,20.0,Binge Drinking,Alaska,2022,AK,Anchorage,Health Risk Behaviors,287145,POINT (-149.112545841578 61.150482370682),55993
2,19.0,Binge Drinking,California,2022,CA,Shasta,Health Risk Behaviors,180930,POINT (-122.040246599392 40.763787981335),33652
3,16.0,Binge Drinking,Alabama,2022,AL,Cullman,Health Risk Behaviors,90665,POINT (-86.8674617693469 34.1321232297422),14234
4,19.0,Binge Drinking,Idaho,2022,ID,Latah,Health Risk Behaviors,40978,POINT (-116.711700829425 46.8155705621497),7826
5,17.0,Binge Drinking,Arkansas,2022,AR,Lincoln,Health Risk Behaviors,12916,POINT (-91.7344327594591 33.9569870088292),2234
6,19.0,Binge Drinking,Illinois,2022,IL,Menard,Health Risk Behaviors,12121,POINT (-89.8015814259198 40.027433354681),2266
7,13.0,Binge Drinking,Alabama,2022,AL,Coosa,Health Risk Behaviors,10166,POINT (-86.2475655062285 32.9362201904239),1301
8,19.0,Binge Drinking,Alaska,2022,AK,Bethel,Health Risk Behaviors,18257,POINT (-159.82324096097 60.9128860869079),3468
9,17.0,Binge Drinking,Alaska,2022,AK,Kenai Peninsula,Health Risk Behaviors,60690,POINT (-151.5538621838 60.2599690239553),10499
10,15.0,Binge Drinking,Alabama,2022,AL,Marshall,Health Risk Behaviors,99423,POINT (-86.306202322979 34.3673847093536),15211
11,17.0,Binge Drinking,California,2022,CA,Orange,Health Risk Behaviors,3151184,POINT (-117.761130979135 33.702790446535),538852
12,17.0,Binge Drinking,Missouri,2022,MO,Caldwell,Health Risk Behaviors,8933,POINT (-93.9828207799922 39.6557701506874),1509
13,16.0,Binge Drinking,Missouri,2022,MO,Howell,Health Risk Behaviors,40631,POINT (-91.8864846136754 36.7739973587625),6460
14,15.0,Binge Drinking,Missouri,2022,MO,Wayne,Health Risk Behaviors,10792,POINT (-90.4615691266314 37.1126282484814),1629
15,19.0,Binge Drinking,Montana,2022,MT,Big Horn,Health Risk Behaviors,12851,POINT (-107.48944354563 45.4233011316632),2441
16,16.0,Binge Drinking,Georgia,2022,GA,Banks,Health Risk Behaviors,19328,POINT (-83.4973124857513 34.3543159067035),2995
17,16.0,Binge Drinking,Colorado,2022,CO,Phillips,Health Risk Behaviors,4449,POINT (-102.357399923211 40.5940489294247),734
18,16.0,Binge Drinking,Arkansas,2022,AR,Lawrence,Health Risk Behaviors,16205,POINT (-91.1072092066806 36.041205068049),2576
19,15.0,Binge Drinking,Arkansas,2022,AR,Cleburne,Health Risk Behaviors,25284,POINT (-92.0266618029566 35.5381671096059),3716
20,16.0,Binge Drinking,Virginia,2022,VA,Covington,Health Risk Behaviors,5679,POINT (-79.9861030270356 37.7794589567051),937
21,14.0,Binge Drinking,Washington,2022,WA,Ferry,Health Risk Behaviors,7448,POINT (-118.516481238407 48.4706654401382),1042
22,18.0,Binge Drinking,Alaska,2022,AK,Copper River,Health Risk Behaviors,2589,POINT (-143.967989524598 61.8833837156363),476
23,18.0,Binge Drinking,California,2022,CA,San Bernardino,Health Risk Behaviors,2193656,POINT (-116.178441641048 34.8415154042306),397051
24,13.0,Binge Drinking,Arkansas,2022,AR,Crittenden,Health Risk Behaviors,47061,POINT (-90.3082216649023 35.2054090351377),6212
25,15.0,Binge Drinking,Arkansas,2022,AR,Newton,Health Risk Behaviors,7078,POINT (-93.2175629791081 35.9200960625867),1054
26,16.0,Binge Drinking,Alaska,2022,AK,Aleutians East,Health Risk Behaviors,3398,POINT (-161.964571410747 55.359979555826),560
27,14.0,Binge Drinking,Arkansas,2022,AR,Poinsett,Health Risk Behaviors,22495,POINT (-90.6631053050275 35.5740758449201),3261
28,11.0,Binge Drinking,Alabama,2022,AL,Dallas,Health Risk Behaviors,36767,POINT (-87.1065206124462 32.3258306814392),3897
29,11.0,Binge Drinking,Alabama,2022,AL,Hale,Health Risk Behaviors,14595,POINT (-87.6288617663726 32.7624422973756),1663
30,17.0,Binge Drinking,California,2022,CA,San Mateo,Health Risk Behaviors,729181,POINT (-122.328756671313 37.4231955433243),126877
31,16.0,Binge Drinking,Arkansas,2022,AR,Independence,Health Risk Behaviors,37945,POINT (-91.5700112648911 35.741699805739),5919
32,16.0,Binge Drinking,Arkansas,2022,AR,Clay,Health Risk Behaviors,14265,POINT (-90.4170776785868 36.3683675945226),2225
33,15.0,Binge Drinking,Arkansas,2022,AR,Franklin,Health Risk Behaviors,17271,POINT (-93.8905515046839 35.5124401293152),2590
34,17.0,Binge Drinking,Arkansas,2022,AR,White,Health Risk Behaviors,77755,POINT (-91.7454779964398 35.2560865177608),12907
35,12.0,Binge Drinking,Arkansas,2022,AR,Chicot,Health Risk Behaviors,9873,POINT (-91.2933505574654 33.2667470395332),1145
